word	question_prompt_pre	question_prompt_post	question_type	bin	choice1	choice2	choice3	choice4	choice5	choice6	choice7	word1_en	word2_en	question_id
literature vs neat	How similar are these words?		control_shape	1	1 (very different)	2	3	4	5	6	7 (very similar)	literature	neat	51
bike vs morning	How similar are these words?		control_shape	1	1 (very different)	2	3	4	5	6	7 (very similar)	bike	morning	52
 basic  vs china bowl	How similar are these words?		control_shape	1	1 (very different)	2	3	4	5	6	7 (very similar)	 basic 	china bowl	53
 morning vs  lip	How similar are these words?		control_shape	1	1 (very different)	2	3	4	5	6	7 (very similar)	 morning	 lip	54
conference vs  cloudy	How similar are these words?		control_shape	1	1 (very different)	2	3	4	5	6	7 (very similar)	conference	 cloudy	55
seaweed  vs nervous	How similar are these words?		control_shape	1	1 (very different)	2	3	4	5	6	7 (very similar)	seaweed 	nervous	56
 type  vs rice	How similar are these words?		control_shape	1	1 (very different)	2	3	4	5	6	7 (very similar)	 type 	rice	57
call  vs sea	How similar are these words?		control_shape	1	1 (very different)	2	3	4	5	6	7 (very similar)	call 	sea	58
collect  vs emotion	How similar are these words?		control_shape	1	1 (very different)	2	3	4	5	6	7 (very similar)	collect 	emotion	59
shower vs  valley	How similar are these words?		control_shape	1	1 (very different)	2	3	4	5	6	7 (very similar)	shower	 valley	60
hurt vs guess	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	hurt	guess	61
run vs ugly	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	run	ugly	62
long-lasting vs imitate	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	long-lasting	imitate	63
fixed vs cold	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	fixed	cold	64
float vs neat	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	float	neat	65
special vs terminate	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	special	terminate	66
precious vs intertwine	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	precious	intertwine	67
tremble vs spacious	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	tremble	spacious	68
flower vs fluffy	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	flower	fluffy	69
lonely vs passion	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	lonely	passion	70
snail vs baseball	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	snail	baseball	71
information vs snowflake	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	information	snowflake	72
sad vs dry	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	sad	dry	73
explain vs population	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	explain	population	74
midnight vs chopstick	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	midnight	chopstick	75
attachment vs stretch	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	attachment	stretch	76
handsome vs quiet	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	handsome	quiet	77
fat vs lamp	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	fat	lamp	78
wall vs cup	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	wall	cup	79
ruler vs glove	How similar are these words?		control_language	1	1 (very different)	2	3	4	5	6	7 (very similar)	ruler	glove	80
6 is larger than 5	Please answer the following question:		catch	1	1 (strongly disagree)	2	3	4	5	6	7 (strongly agree)			
triangles have three sides	Please answer the following question:		catch	1	1 (strongly disagree)	2	3	4	5	6	7 (strongly agree)			
The word red has two letters	Please answer the following question:		catch	1	1 (strongly disagree)	2	3	4	5	6	7 (strongly agree)			
Squares have four sides	Please answer the following question:		catch	1	1 (strongly disagree)	2	3	4	5	6	7 (strongly agree)			
